,식품대분류,식품상세분류,식품명,1회제공량(g),에너지(kcal),탄수화물(g),단백질(g),지방(g)
1,곡류 및 서류,떡류,가래떡,100.0,205.04,45.04,3.52,0.32
2,곡류 및 서류,떡류,경단,100.0,303.79,67.04,6.58,0.54
3,곡류 및 서류,떡류,경단(깨),100.0,319.47,74.22,4.44,0.54
4,곡류 및 서류,떡류,경단(콩),100.0,314.32,74.03,3.51,0.46
5,곡류 및 서류,떡류,기피편,100.0,219.97,48.99,5.45,0.25
6,곡류 및 서류,떡류,깨강정,30.0,150.3,13.62,4.5,9.87
7,곡류 및 서류,떡류,깨송편,100.0,219.0,42.8,4.7,3.2
8,곡류 및 서류,떡류,꿀떡,100.0,225.92,50.36,3.24,0.76
9,곡류 및 서류,떡류,녹두시루떡,100.0,246.07,48.08,7.74,2.53
10,곡류 및 서류,떡류,다식,30.0,105.17,20.81,3.55,1.73
11,곡류 및 서류,떡류,매작과,30.0,121.48,19.06,2.55,3.57
12,곡류 및 서류,떡류,메밀전병,100.0,166.14,24.82,5.79,5.5
13,곡류 및 서류,떡류,모듬찰떡,100.0,218.0,42.3,6.8,2.4
14,곡류 및 서류,떡류,무지개떡,100.0,218.18,48.7,4.0,0.86
15,곡류 및 서류,떡류,백설기,100.0,218.82,48.2,4.04,0.79
16,곡류 및 서류,떡류,산자,30.0,121.7,24.7,0.91,1.2
17,곡류 및 서류,떡류,송편,100.0,234.9,46.82,4.17,2.7
18,곡류 및 서류,떡류,송편(깨),100.0,224.15,44.96,4.92,2.74
19,곡류 및 서류,떡류,송편(콩),100.0,194.33,41.66,5.24,0.75
20,곡류 및 서류,떡류,수수부꾸미,100.0,258.99,46.15,5.5,5.67
21,곡류 및 서류,떡류,수수팥떡,100.0,212.73,45.17,5.98,0.68
22,곡류 및 서류,떡류,시루떡,100.0,223.62,49.03,5.5,0.28
23,곡류 및 서류,떡류,쑥떡,100.0,238.06,54.64,4.53,0.45
24,곡류 및 서류,떡류,쑥절편,100.0,192.0,34.9,7.7,2.4
25,곡류 및 서류,떡류,약과,30.0,113.85,22.18,2.57,1.24
26,곡류 및 서류,떡류,약식,100.0,232.21,48.88,3.83,2.27
27,곡류 및 서류,떡류,유과,30.0,129.06,24.14,0.36,3.5
28,곡류 및 서류,떡류,인절미,100.0,214.46,42.55,6.4,1.76
29,곡류 및 서류,떡류,절편,100.0,197.81,44.07,3.06,0.35
30,곡류 및 서류,떡류,제주도 빙떡 & 귤간장소스,80.0,94.02,20.0,1.33,0.97
31,곡류 및 서류,떡류,증편,100.0,198.69,44.22,2.54,0.34
32,곡류 및 서류,떡류,찰떡,100.0,216.18,44.88,5.81,1.24
33,곡류 및 서류,떡류,참깨경단,100.0,239.0,38.6,6.3,6.7
34,곡류 및 서류,떡류,찹쌀떡,100.0,264.74,62.08,3.41,0.23
35,곡류 및 서류,떡류,팥시루떡,100.0,224.0,48.1,3.8,1.8
36,곡류 및 서류,떡류,팥찹쌀떡,100.0,294.0,62.9,5.1,2.5
37,구이류,어패류구이,가자미구이,200.0,245.0,1.3,37.4,10.0
38,구이류,어패류구이,갈치구이,200.0,275.0,1.2,43.1,11.0
39,구이류,어패류구이,고등어구이,200.0,551.0,0.4,47.7,40.0
40,구이류,어패류구이,고등어석쇠구이,200.0,679.0,7.6,46.7,51.4
41,구이류,어패류구이,굴비구이,150.0,291.0,0.1,28.0,19.9
42,구이류,어패류구이,꽁치구이,200.0,604.0,4.3,49.4,43.4
43,구이류,어패류구이,도미구이,250.0,397.0,2.1,61.1,16.5
44,구이류,어패류구이,뱅어포구이,70.0,261.0,17.6,24.1,10.6
45,구이류,어패류구이,병어구이,250.0,488.0,0.2,54.6,30.8
46,구이류,어패류구이,붕장어소금구이,100.0,296.54,11.6,26.0,16.2
47,구이류,어패류구이,삼치구이,200.0,355.71,8.48,37.83,18.01
48,구이류,어패류구이,새우구이,180.0,260.0,5.1,42.1,8.0
49,구이류,어패류구이,양념장어구이,150.0,433.35,8.8,30.77,30.56
50,구이류,어패류구이,임연수구이,250.0,494.0,3.5,53.8,29.4
51,구이류,어패류구이,조기구이,180.0,460.0,36.4,34.8,19.5
52,구이류,어패류구이,조미김,5.0,23.0,1.4,1.0,1.5
53,구이류,어패류구이,쥐포구이,70.0,238.0,37.4,21.7,0.2
54,구이류,어패류구이,짚불구이곰장어,200.0,326.21,2.3,42.7,16.2
55,구이류,어패류구이,참치머리구이,180.0,346.0,2.5,47.8,16.2
56,구이류,어패류구이,키조개구이,180.0,234.0,18.8,31.4,3.7
57,구이류,어패류구이,황태구이,200.0,437.57,26.9,47.8,15.4
58,구이류,육류구이,간장양념닭다리구이,300.0,740.0,10.6,68.9,46.9
59,구이류,육류구이,그레이프 소스 스테이크,100.0,142.0,3.0,10.0,10.0
60,구이류,육류구이,꿩불고기,500.0,368.8,39.7,33.5,8.5
61,구이류,육류구이,닭고기대파꼬치구이,170.0,416.0,17.6,30.3,25.0
62,구이류,육류구이,닭구이,340.0,872.0,26.5,89.1,45.5
63,구이류,육류구이,닭꼬치,70.0,177.51,12.9,12.35,7.9
64,구이류,육류구이,닭발구이,220.0,431.0,21.3,39.9,20.7
65,구이류,육류구이,더블 체다 함박 스테이크,100.0,143.0,8.0,12.0,7.0
66,구이류,육류구이,돼지갈비,100.0,248.52,7.6,19.95,14.7
67,구이류,육류구이,돼지고기산적,170.0,339.0,2.6,49.4,14.6
68,구이류,육류구이,돼지불고기,200.0,449.0,8.1,29.7,33.1
69,구이류,육류구이,등심스테이크,200.0,388.0,0.3,60.4,16.1
70,구이류,육류구이,떡갈비,250.0,762.99,26.61,43.08,51.58
71,구이류,육류구이,런천미트구이,160.0,484.0,5.2,28.1,39.0
72,구이류,육류구이,레드 칠리 스테이크,100.0,179.0,9.0,11.0,11.0
73,구이류,육류구이,레드와인소스스테이크,100.0,128.0,5.0,9.0,8.0
74,구이류,육류구이,삼겹살고추장구이,200.0,805.0,25.3,28.4,65.7
75,구이류,육류구이,삼겹살구이,200.0,933.0,0.7,45.1,83.4
76,구이류,육류구이,소갈비구이,300.0,722.0,4.8,77.7,43.7
77,구이류,육류구이,소고기 찹스테이크,100.0,124.0,4.0,9.0,8.0
78,구이류,육류구이,소곱창구이,150.0,639.11,6.51,35.62,51.71
79,구이류,육류구이,소불고기,200.0,174.73,19.63,14.22,4.68
80,구이류,육류구이,소양념갈비구이,300.0,986.92,27.74,61.97,66.48
81,구이류,육류구이,안심스테이크,200.0,366.0,0.2,69.6,9.7
82,구이류,육류구이,양갈비 스테이크,100.0,177.0,5.0,10.0,13.0
83,구이류,육류구이,양념왕갈비,150.0,485.51,15.04,29.33,33.71
84,구이류,육류구이,오리고기구이,200.0,586.0,9.8,48.1,39.4
85,구이류,육류구이,오리불고기,250.0,559.93,24.47,38.16,34.25
86,구이류,육류구이,오삼불고기,200.0,356.94,21.46,23.35,20.24
87,구이류,육류구이,장어고추장구이,100.0,258.0,6.2,19.8,17.2
88,구이류,육류구이,치킨데리야끼,340.0,692.52,50.73,47.34,32.19
89,구이류,육류구이,치킨바베큐 ,100.0,108.0,7.0,11.0,4.1
90,구이류,육류구이,퓨전떡갈비,85.0,195.85,24.74,12.58,5.18
91,구이류,육류구이,함박스테이크,200.0,347.0,14.4,24.2,21.5
92,구이류,육류구이,햄구이,170.0,577.0,2.6,26.0,51.4
93,구이류,육류구이,햄버거스테이크,200.0,436.75,21.35,24.92,28.05
94,구이류,육류구이,훈제오리,250.0,789.96,11.83,38.16,64.65
95,구이류,채소류구이,더덕구이,100.0,183.74,31.78,5.8,5.62
96,구이류,채소류구이,두부구이,65.0,91.12,2.85,7.02,5.74
97,구이류,채소류구이,버섯구이,80.0,41.0,3.8,4.1,1.1
98,구이류,채소류구이,새송이버섯구이,80.0,66.0,9.3,3.4,1.8
99,구이류,채소류구이,양배추구이,100.0,60.93,7.62,2.71,2.65
100,구이류,채소류구이,표고버섯구이,80.0,79.0,14.5,3.5,0.8
101,국 및 탕류,기타 국 및 탕류,달걀국,450.0,193.04,5.35,16.19,11.11
102,국 및 탕류,기타 국 및 탕류,떡국,800.0,714.99,144.03,21.86,5.39
103,국 및 탕류,기타 국 및 탕류,떡만둣국,700.0,625.35,113.96,22.72,9.4
104,국 및 탕류,기타 국 및 탕류,마라탕,100.0,178.0,13.0,9.0,10.0
105,국 및 탕류,기타 국 및 탕류,만둣국,700.0,432.62,53.28,19.24,14.92
106,국 및 탕류,기타 국 및 탕류,메밀묵국,400.0,87.0,14.3,4.0,1.6
107,국 및 탕류,기타 국 및 탕류,순두부달걀국,350.0,102.0,3.3,6.2,7.1
108,국 및 탕류,기타 국 및 탕류,짬뽕밥,900.0,696.69,93.42,41.8,22.42
109,국 및 탕류,냉국류,미역냉국,350.0,128.0,26.3,0.7,2.3
110,국 및 탕류,냉국류,미역오이냉국,450.0,77.35,19.74,5.61,1.35
111,국 및 탕류,냉국류,오이냉국,350.0,38.0,2.7,1.5,2.4
112,국 및 탕류,어패류국.탕,게국지,1100.0,415.25,31.7,44.9,12.1
113,국 및 탕류,어패류국.탕,곰치국,1000.0,419.29,23.9,54.3,11.8
114,국 및 탕류,어패류국.탕,광어매운탕,600.0,419.79,9.13,58.42,16.62
115,국 및 탕류,어패류국.탕,굴국,450.0,194.42,11.44,22.8,8.65
116,국 및 탕류,어패류국.탕,굴국밥,650.0,683.0,88.4,42.4,17.8
117,국 및 탕류,어패류국.탕,굴무국,500.0,123.0,14.6,12.0,1.8
118,국 및 탕류,어패류국.탕,꽃게탕,600.0,240.65,20.77,31.7,5.49
119,국 및 탕류,어패류국.탕,낙지탕,600.0,186.1,11.77,29.21,2.73
120,국 및 탕류,어패류국.탕,대구매운탕,600.0,361.75,16.84,57.36,7.21
121,국 및 탕류,어패류국.탕,대구뽈탕 ,100.0,65.0,4.0,10.0,0.9
122,국 및 탕류,어패류국.탕,대구지리탕,600.0,262.02,9.9,41.6,6.2
123,국 및 탕류,어패류국.탕,대합미역국,400.0,44.0,2.2,4.9,1.8
124,국 및 탕류,어패류국.탕,도가니탕,800.0,563.65,5.58,54.6,34.77
125,국 및 탕류,어패류국.탕,동태국,400.0,66.0,5.6,9.7,0.6
126,국 및 탕류,어패류국.탕,매생이국,500.0,119.0,13.4,10.0,2.8
127,국 및 탕류,어패류국.탕,매운탕,600.0,402.79,18.83,37.16,21.56
128,국 및 탕류,어패류국.탕,메기매운탕,600.0,400.0,48.6,28.6,10.2
129,국 및 탕류,어패류국.탕,미역 미소국,245.0,14.34,2.38,1.12,0.04
130,국 및 탕류,어패류국.탕,미역국,500.0,50.16,4.7,2.7,4.35
131,국 및 탕류,어패류국.탕,미역된장국,400.0,96.0,9.1,6.3,3.9
132,국 및 탕류,어패류국.탕,바지락 미역국,285.0,53.5,4.1,8.01,0.56
133,국 및 탕류,어패류국.탕,바지락맑은국,247.0,46.89,7.76,3.93,0.02
134,국 및 탕류,어패류국.탕,바지락조개국,550.0,159.25,8.51,25.83,1.84
135,국 및 탕류,어패류국.탕,복지리탕,600.0,232.05,10.3,41.7,2.7
136,국 및 탕류,어패류국.탕,북어 무국,300.0,56.32,4.32,8.43,0.59
137,국 및 탕류,어패류국.탕,북엇국,400.0,111.0,3.4,15.6,3.9
138,국 및 탕류,어패류국.탕,새우미역국,400.0,63.0,7.3,4.4,1.8
139,국 및 탕류,어패류국.탕,새우탕,500.0,163.0,10.0,25.8,2.2
140,국 및 탕류,어패류국.탕,아구탕,600.0,246.07,12.8,37.8,4.9
141,국 및 탕류,어패류국.탕,알곤이탕,100.0,78.0,5.0,10.0,1.7
142,국 및 탕류,어패류국.탕,알탕,700.0,424.12,49.52,49.21,6.98
143,국 및 탕류,어패류국.탕,어묵국,600.0,252.09,37.16,22.85,4.21
144,국 및 탕류,어패류국.탕,어탕,150.0,85.87,1.82,12.7,3.09
145,국 및 탕류,어패류국.탕,연포탕,1000.0,541.19,21.64,91.65,9.2
146,국 및 탕류,어패류국.탕,오징어국,500.0,169.04,10.6,27.74,2.36
147,국 및 탕류,어패류국.탕,올갱이국,600.0,144.26,13.0,13.7,4.2
148,국 및 탕류,어패류국.탕,우럭매운탕,600.0,406.82,11.24,52.15,17.03
149,국 및 탕류,어패류국.탕,우렁된장국,500.0,245.28,21.19,24.72,7.05
150,국 및 탕류,어패류국.탕,재첩국,350.0,81.0,15.9,2.3,1.0
151,국 및 탕류,어패류국.탕,전복탕,600.0,196.85,15.8,26.8,3.0
152,국 및 탕류,어패류국.탕,조갯국,400.0,62.0,1.0,6.7,3.6
153,국 및 탕류,어패류국.탕,조기매운탕,600.0,384.38,17.3,35.1,19.4
154,국 및 탕류,어패류국.탕,지리탕,600.0,260.59,10.52,38.34,8.36
155,국 및 탕류,어패류국.탕,짱뚱어탕,600.0,188.77,16.6,11.5,8.5
156,국 및 탕류,어패류국.탕,추어탕,700.0,338.67,24.42,37.37,11.51
157,국 및 탕류,어패류국.탕,코다리 뿌리채소 들깨탕,347.0,93.33,3.64,14.75,2.2
158,국 및 탕류,어패류국.탕,해물된장국,400.0,111.0,10.7,8.4,3.9
159,국 및 탕류,어패류국.탕,해물탕,600.0,272.26,19.58,41.74,3.38
160,국 및 탕류,어패류국.탕,홍합무국,350.0,87.0,3.0,2.8,7.1
161,국 및 탕류,어패류국.탕,홍합미역국,650.0,168.88,14.13,19.99,6.43
162,국 및 탕류,어패류국.탕,황태해장국,600.0,184.22,6.39,25.21,7.22
163,국 및 탕류,육류국.탕,갈낙탕,400.0,261.77,0.8,35.8,12.8
164,국 및 탕류,육류국.탕,갈비탕,600.0,240.4,8.21,18.67,14.33
165,국 및 탕류,육류국.탕,감자탕,900.0,963.71,49.64,60.55,58.28
166,국 및 탕류,육류국.탕,곰탕,300.0,181.42,15.5,16.59,5.44
167,국 및 탕류,육류국.탕,꼬리곰탕,700.0,750.69,10.93,54.87,52.8
168,국 및 탕류,육류국.탕,내장탕,700.0,549.81,13.7,56.97,31.51
169,국 및 탕류,육류국.탕,닭개장,700.0,317.07,19.18,33.74,14.95
170,국 및 탕류,육류국.탕,닭곰탕,650.0,527.7,15.39,58.88,24.14
171,국 및 탕류,육류국.탕,닭볶음탕,300.0,371.81,19.17,33.85,17.32
172,국 및 탕류,육류국.탕,돼지국밥,1200.0,811.44,78.28,56.76,36.45
173,국 및 탕류,육류국.탕,뼈해장국,1000.0,692.93,25.42,67.92,37.16
174,국 및 탕류,육류국.탕,사골국,400.0,220.0,11.2,22.2,9.7
175,국 및 탕류,육류국.탕,사골만두국,700.0,606.0,62.6,26.2,28.0
176,국 및 탕류,육류국.탕,삼계탕,1000.0,881.32,44.08,76.65,40.57
177,국 및 탕류,육류국.탕,선짓국,600.0,173.0,7.4,23.2,5.7
178,국 및 탕류,육류국.탕,설렁탕,600.0,422.76,10.94,52.71,18.2
179,국 및 탕류,육류국.탕,소고기 들깨 알토란탕,297.0,146.42,17.4,7.57,5.17
180,국 및 탕류,육류국.탕,소고기 무국,287.0,46.5,3.42,6.49,0.77
181,국 및 탕류,육류국.탕,소고기무국,400.0,125.22,8.14,13.51,4.72
182,국 및 탕류,육류국.탕,소고기미역국,650.0,154.93,6.91,20.23,6.82
183,국 및 탕류,육류국.탕,소머리국밥,1100.0,891.43,77.06,48.94,40.76
184,국 및 탕류,육류국.탕,쇠고기무국,400.0,61.0,4.4,5.3,2.5
185,국 및 탕류,육류국.탕,쇠고기미역국,400.0,52.0,3.3,7.4,1.0
186,국 및 탕류,육류국.탕,쇠고기배추국,400.0,62.0,4.6,7.3,1.6
187,국 및 탕류,육류국.탕,순대국밥,900.0,690.35,34.23,17.34,16.48
188,국 및 탕류,육류국.탕,순댓국,600.0,509.0,89.7,14.1,10.5
189,국 및 탕류,육류국.탕,오리탕,600.0,480.82,24.16,43.21,21.64
190,국 및 탕류,육류국.탕,육개장,440.0,137.86,11.62,13.44,5.87
191,국 및 탕류,육류국.탕,육탕,150.0,87.63,0.35,12.66,3.95
192,국 및 탕류,채소류국.탕,감자국,700.0,220.07,37.01,17.0,2.16
193,국 및 탕류,채소류국.탕,감자된장국,400.0,98.0,14.8,4.3,2.4
194,국 및 탕류,채소류국.탕,근대된장국,450.0,109.26,8.14,15.31,3.21
195,국 및 탕류,채소류국.탕,김치콩나물국,400.0,48.0,4.6,3.3,1.9
196,국 및 탕류,채소류국.탕,김칫국,400.0,90.0,10.5,5.4,3.0
197,국 및 탕류,채소류국.탕,냉이된장국,400.0,86.0,8.8,6.9,2.6
198,국 및 탕류,채소류국.탕,맑은감자국,700.0,221.0,34.6,8.3,5.5
199,국 및 탕류,채소류국.탕,무된장국,450.0,104.0,14.7,6.1,2.4
200,국 및 탕류,채소류국.탕,무시래기된장국,400.0,61.0,8.1,5.2,0.9
201,국 및 탕류,채소류국.탕,미소된장국,150.0,37.97,1.7,4.14,1.75
202,국 및 탕류,채소류국.탕,배추된장국,700.0,121.53,11.04,13.96,3.63
203,국 및 탕류,채소류국.탕,시금치된장국,400.0,121.45,9.9,16.69,3.39
204,국 및 탕류,채소류국.탕,시래기된장국,450.0,99.12,10.68,10.02,2.54
205,국 및 탕류,채소류국.탕,쑥된장국,450.0,117.32,17.17,13.21,2.55
206,국 및 탕류,채소류국.탕,아욱된장국,450.0,103.53,9.96,12.0,2.94
207,국 및 탕류,채소류국.탕,애호박된장국,400.0,122.0,5.6,13.4,5.2
208,국 및 탕류,채소류국.탕,얼갈이배춧국,400.0,36.0,3.4,2.0,1.6
209,국 및 탕류,채소류국.탕,우거지곰탕,350.0,88.0,9.1,8.3,2.1
210,국 및 탕류,채소류국.탕,우거지된장국,450.0,85.97,13.72,6.44,1.81
211,국 및 탕류,채소류국.탕,우거지해장국,600.0,158.5,14.86,14.19,5.73
212,국 및 탕류,채소류국.탕,일본된장국,200.0,20.0,0.4,1.4,1.5
213,국 및 탕류,채소류국.탕,초당순두부국,900.0,522.69,15.8,49.1,29.2
214,국 및 탕류,채소류국.탕,콩나물국,400.0,22.53,1.26,1.82,1.42
215,국 및 탕류,채소류국.탕,콩나물국밥,900.0,432.38,88.73,12.5,3.52
216,국 및 탕류,채소류국.탕,콩나물된장국,400.0,123.0,10.5,10.3,4.5
217,국 및 탕류,채소류국.탕,토란국,250.0,462.97,85.16,23.89,7.07
218,국 및 탕류,채소류국.탕,토마토 미소된장국,196.0,46.85,5.29,3.43,1.33
219,국 및 탕류,채소류국.탕,호박잎된장국,350.0,23.0,1.9,1.4,1.1
220,국 및 탕류,채소류국.탕,홍합 배춧국,240.0,23.07,2.14,2.01,0.72
221,김치류,김치,갓김치,50.0,27.64,5.21,1.98,0.7
222,김치류,김치,고구마 김치,62.0,95.86,22.44,0.91,0.27
223,김치류,김치,고들빼기김치,50.0,35.0,5.8,1.5,0.7
224,김치류,김치,깍두기,50.0,17.99,3.94,1.0,0.23
225,김치류,김치,깻잎김치,150.0,124.49,23.27,6.1,3.16
226,김치류,김치,나박김치,100.0,14.75,2.26,0.63,0.42
227,김치류,김치,돌나물물김치,400.0,19.0,3.0,1.2,0.3
228,김치류,김치,동치미,400.0,57.69,14.26,2.7,0.64
229,김치류,김치,무말랭이 김치,35.0,10.86,2.56,0.14,0.0
230,김치류,김치,무염 겉절이,32.0,11.96,2.53,0.45,0.01
231,김치류,김치,배 깍두기,56.0,31.66,6.33,0.72,0.39
232,김치류,김치,배추겉절이,50.0,21.24,4.48,0.94,0.5
233,김치류,김치,배추김치,50.0,18.43,4.16,1.14,0.3
234,김치류,김치,백김치,50.0,19.8,4.38,0.8,0.26
235,김치류,김치,보쌈김치,90.0,27.0,3.4,2.0,0.7
236,김치류,김치,부추김치,50.0,32.91,6.29,1.88,0.57
237,김치류,김치,오이 물김치,55.0,13.46,2.99,0.34,0.02
238,김치류,김치,얼갈이배추김치,80.0,50.0,8.7,1.3,1.2
239,김치류,김치,열무김치,50.0,16.28,3.16,1.34,0.35
240,김치류,김치,열무얼갈이김치,50.0,16.57,3.03,1.27,0.4
241,김치류,김치,오이김치,70.0,26.0,4.0,1.4,0.6
242,김치류,김치,오이소박이,50.0,16.67,2.96,0.94,0.53
243,김치류,김치,저염 겉절이,33.0,13.11,2.05,0.72,0.23
244,김치류,김치,총각김치,50.0,17.56,3.44,1.03,0.37
245,김치류,김치,파김치,50.0,28.0,5.47,1.55,0.7
246,면 및 만두류,국수류,골뱅이국수무침,230.0,256.42,39.63,10.52,7.01
247,면 및 만두류,국수류,김치말이국수,600.0,310.38,60.76,10.42,2.47
248,면 및 만두류,국수류,김치우동,800.0,512.71,99.06,16.74,4.74
249,면 및 만두류,국수류,냉김치말이국수,600.0,302.53,52.0,12.9,4.8
250,면 및 만두류,국수류,닭칼국수,900.0,643.1,70.24,39.86,19.59
251,면 및 만두류,국수류,둘깨칼국수,600.0,457.88,59.8,17.6,16.5
252,면 및 만두류,국수류,막국수,550.0,566.89,111.3,26.95,5.09
253,면 및 만두류,국수류,메밀국수,600.0,588.67,120.09,25.26,4.53
254,면 및 만두류,국수류,바지락칼국수,700.0,576.0,111.8,24.0,3.7
255,면 및 만두류,국수류,볶음우동,300.0,377.92,62.26,9.59,10.81
256,면 및 만두류,국수류,비빔국수,550.0,577.17,114.48,16.7,9.55
257,면 및 만두류,국수류,삼선우동,1000.0,692.26,89.2,56.17,10.53
258,면 및 만두류,국수류,쌀국수,600.0,321.33,46.2,21.85,5.81
259,면 및 만두류,국수류,열무김치국수,800.0,488.32,81.61,21.94,8.22
260,면 및 만두류,국수류,올갱이국수,1500.0,566.0,111.6,11.2,8.3
261,면 및 만두류,국수류,우동,800.0,679.0,97.7,14.3,25.8
262,면 및 만두류,국수류,일식우동,700.0,420.79,81.23,16.93,1.74
263,면 및 만두류,국수류,잔치국수,700.0,564.23,104.66,20.26,6.23
264,면 및 만두류,국수류,장칼국수,100.0,209.0,46.0,4.0,1.1
265,면 및 만두류,국수류,쟁반국수,450.0,535.0,57.7,30.0,20.5
266,면 및 만두류,국수류,칼국수,700.0,540.0,104.3,23.1,3.5
267,면 및 만두류,국수류,콩국수,800.0,623.5,67.12,47.8,20.43
268,면 및 만두류,국수류,해물칼국수,900.0,621.2,124.21,24.87,4.01
269,면 및 만두류,기타 면 및 만두류,대패삼겹 불냉면,100.0,181.0,26.0,8.0,4.6
270,면 및 만두류,기타 면 및 만두류,물냉면,800.0,579.71,96.4,28.78,9.78
271,면 및 만두류,기타 면 및 만두류,비빔냉면,550.0,594.31,91.49,23.7,9.13
272,면 및 만두류,기타 면 및 만두류,수제비,800.0,622.15,99.22,38.53,6.54
273,면 및 만두류,기타 면 및 만두류,얼큰 콩나물 수제비,333.0,228.82,47.95,9.06,0.09
274,면 및 만두류,기타 면 및 만두류,우삼겹 치즈쫄면,100.0,281.0,29.0,12.0,13.0
275,면 및 만두류,기타 면 및 만두류,쫄면,450.0,622.42,110.85,12.36,6.93
276,면 및 만두류,기타 면 및 만두류,회냉면,550.0,638.9,131.9,20.22,8.78
277,면 및 만두류,라면류,김치라면,650.0,512.26,80.57,12.97,20.34
278,면 및 만두류,라면류,달걀라면,550.0,596.0,95.3,14.4,17.5
279,면 및 만두류,라면류,떡라면,700.0,672.18,121.08,15.45,17.58
280,면 및 만두류,라면류,라면,550.0,509.33,83.17,14.08,17.75
281,면 및 만두류,라면류,짜장라면,250.0,409.38,63.78,12.01,14.85
282,면 및 만두류,라면류,짬뽕라면,750.0,633.34,88.79,31.41,24.63
283,면 및 만두류,라면류,치즈라면,600.0,598.67,83.53,23.35,23.28
284,면 및 만두류,만두류,고기만두,250.0,454.38,55.32,18.66,18.24
285,면 및 만두류,만두류,군만두,180.0,528.0,44.0,16.0,32.0
286,면 및 만두류,만두류,김치만두,250.0,424.64,60.79,18.43,13.1
287,면 및 만두류,만두류,만두,220.0,397.0,39.8,19.0,18.0
288,면 및 만두류,만두류,물만두,120.0,158.05,20.48,5.86,5.84
289,면 및 만두류,만두류,야끼 만두,80.0,252.0,32.0,4.0,12.0
290,면 및 만두류,스파게티류,까브로나라파스타,339.0,565.0,69.97,14.71,24.61
291,면 및 만두류,스파게티류,들깨 크림 파스타,100.0,208.0,27.0,7.0,8.0
292,면 및 만두류,스파게티류,명란파스타,100.0,298.0,35.0,8.0,14.0
293,면 및 만두류,스파게티류,미트볼 토마토 스파게티,500.0,898.0,88.1,36.7,44.4
294,면 및 만두류,스파게티류,미트소스파스타,335.0,491.0,71.46,17.92,14.91
295,면 및 만두류,스파게티류,바질 크림 빠네 파스타,100.0,277.0,33.0,7.0,13.0
296,면 및 만두류,스파게티류,쉬림프 로제 파스타,100.0,215.0,24.0,5.0,11.0
297,면 및 만두류,스파게티류,알리오올리오파스타,302.0,465.0,75.2,12.38,13.47
298,면 및 만두류,스파게티류,오일소스스파게티,400.0,626.58,99.24,14.68,16.58
299,면 및 만두류,스파게티류,크림소스스파게티,400.0,825.06,85.88,19.44,45.4
300,면 및 만두류,스파게티류,토마토소스스파게티,500.0,642.18,102.07,20.22,17.37
301,면 및 만두류,스파게티류,토마토파스타,331.0,346.0,68.98,13.44,2.32
302,면 및 만두류,스파게티류,트러플 크림 파스타,100.0,226.0,28.0,6.0,10.0
303,면 및 만두류,스파게티류,해물크림소스스파게티,500.0,917.57,86.97,30.39,49.79
304,면 및 만두류,스파게티류,해물토마토소스스파게티,500.0,584.44,87.24,27.97,13.73
305,면 및 만두류,중식면류,간짜장,500.0,625.0,75.7,25.6,24.4
306,면 및 만두류,중식면류,굴짬뽕,900.0,640.77,115.82,37.39,7.76
